segment_point_id,latitude,longitude,road_code,route_segment,road_type,provincia,is_highway,km_marker,imd_total,imd_light,imd_heavy,pct_heavy,demand_index,imd_station_dist_km,imd_low_confidence,ev_fleet_province_2027,ev_fleet_point_allocated,ev_penetration_rate_2027,estimated_daily_ev_passages,nearest_charger_dist_km,nearest_charger_power_kw,nearest_charger_connections,nearest_fast_charger_dist_km,coverage_gap_flag,coverage_gap_km,available_capacity_mw,available_capacity_kw,nearest_substation_dist_km,distributor_network,grid_low_confidence,estimated_ev_demand_kw,n_chargers_proposed,grid_load_ratio,grid_status,traffic_weighted_demand,composite_priority_score
A3_0044,40.347213,-3.544948,A-3,A-3,AUTOVÍA,CUENCA,True,50.0,161620,137377.0,24243.0,15.0,77093.0,6.38,False,30261,10928.61,0.3,41213.1,0.772,60000.0,4,0.772,False,0.0,129.27,129270.00000000001,12.88,i-DE,False,123639.3,12,0.956442,Congested,41213.1,0.649247
A3_0045,39.516351,-2.220242,A-3,A-3,AUTOVÍA,CUENCA,True,100.0,25915,22028.0,3887.0,15.0,178839.0,6.95,False,30261,1752.35,0.3,6608.4,3.777,3000000.0,80,3.777,False,0.0,18.67,18670.0,36.546,i-DE,True,19825.2,12,1.061875,Congested,6608.4,0.313144
A3_0046,39.534656,-1.372431,A-3,A-3,AUTOVÍA,CUENCA,True,150.0,2322,1974.0,348.0,15.0,116.0,25.65,True,30261,157.01,0.3,592.2,5.216,143650.0,12,5.216,False,0.0,7.15,7150.0,51.839,i-DE,True,1776.6,12,0.248476,Sufficient,592.2,0.255366
A3_0047,39.955379,-2.917834,A-3,A-3,AUTOVÍA,CUENCA,True,200.0,4975,4229.0,746.0,15.0,22746.0,11.32,False,30261,336.41,0.3,1268.7,2.207,222000.0,12,2.207,False,0.0,10.18,10180.0,21.74,i-DE,True,3806.1,12,0.37388,Moderate,1268.7,0.261836
A3_0048,39.534201,-1.175376,A-3,A-3,AUTOVÍA,CUENCA,True,250.0,32006,27205.0,4801.0,15.0,160126.0,26.53,True,30261,2164.22,0.3,8161.5,4.314,88680.0,16,4.314,False,0.0,41.39,41390.0,52.299,i-DE,True,24484.5,12,0.591556,Moderate,8161.5,0.328595
A3_0049,39.448821,-0.84864,A-3,A-3,AUTOVÍA,CUENCA,True,300.0,33437,28421.0,5016.0,15.0,22169.0,0.49,False,30261,2260.98,0.3,8526.3,6.105,120000.0,8,6.105,False,0.0,41.39,41390.0,27.359,i-DE,True,25578.9,12,0.617997,Moderate,8526.3,0.332117
A30_0050,38.133735,-1.268273,A-30,A-30,AUTOVÍA,MURCIA,True,0.0,957,813.0,144.0,15.0,1266.0,12.88,False,5395,64.71,0.3,243.9,2.594,166000.0,20,2.594,False,0.0,10.56,10560.0,38.264,Viesgo,True,731.7,8,0.06929,Sufficient,243.9,0.252125
A30_0051,38.376085,-1.541454,A-30,A-30,AUTOVÍA,MURCIA,True,50.0,957,813.0,144.0,15.0,772.0,21.36,True,5395,64.71,0.3,243.9,15.734,1000000.0,16,15.734,False,0.0,10.56,10560.0,38.319,Viesgo,True,731.7,8,0.06929,Sufficient,243.9,0.252125
A30_0052,37.959599,-1.220881,A-30,A-30,AUTOVÍA,MURCIA,True,100.0,957,813.0,144.0,15.0,1266.0,31.65,True,5395,64.71,0.3,243.9,0.654,194000.0,20,0.654,False,0.0,22.369999999999997,22369.999999999996,29.087,Viesgo,True,731.7,8,0.032709,Sufficient,243.9,0.252154
A30_0053,38.265005,-1.441733,A-30,A-30,AUTOVÍA,MURCIA,True,150.0,957,813.0,144.0,15.0,772.0,6.61,False,5395,64.71,0.3,243.9,0.956,143000.0,12,0.956,False,0.0,10.56,10560.0,32.258,Viesgo,True,731.7,8,0.06929,Sufficient,243.9,0.252125
