site_key,lat,lon,number_of_connections,total_power_kw
hash::48665d64d9bb628c,41.540417,1.888267,3,
hash::57eba1caee1bbb7d,38.272427,-0.668755,3,
hash::8a54bdfd455123d5,38.272427,-0.668756,3,
hash::ae3c5fed1e76019f,41.57993,1.604189,3,
hash::a378b5238a98df58,42.49944,-1.673222,3,
hash::ba46f933f93ab107,39.86298,-3.97615,3,
hash::9c9756da7e5b3848,37.99336,-1.079256,3,
hash::dc3db700b8ae8156,40.400963,-3.881779,3,
hash::2108553b80e7063e,40.61361,0.590008,3,
hash::e5f887c6924628a2,36.811188,-2.585031,3,
hash::483992c1d19458df,36.51963,-4.880858,3,
hash::ffa0e24476f2b066,42.82372,-2.772644,3,
hash::ea870eecf5bb96f3,38.849056,-6.93813,3,
hash::c0c767ac36d798e7,40.455837,-3.873278,3,
hash::db3d30e460d834ac,37.354095,-6.026959,3,
hash::a46122100dece0cb,38.461884,-0.816207,3,
hash::5965114f9e5f0c6c,43.4578,-3.858412,3,
hash::363fa0682ac521ec,39.441216,-0.456123,3,
hash::5bad697515f38299,43.24845,-2.90399,3,
hash::1545d56e99bd9f68,42.654915,-2.028333,3,
hash::9880bce4778549fb,37.984848,-0.679867,3,
hash::64cd9abfeae4b7da,36.737743,-3.513338,3,
hash::b20c722b38918a1d,40.431698,-3.795578,3,
hash::e47095289283fd79,43.427155,-3.838617,3,
hash::01e7dc6150f49483,40.547455,-3.656185,3,
hash::30d835cbd0ae67cb,41.60559,0.612205,3,
hash::46442228a63cc494,40.440674,-3.53759,3,
hash::ce8d198aab668de7,42.45322,-2.464703,3,
hash::1a107cc9471c201b,42.30573,-3.82572,3,
hash::fe35de62f47fd349,43.166306,-2.595696,3,
hash::ed11c4d988c9b4ff,41.14151,1.116521,3,
hash::6318f860b9c4daa4,43.42568,-3.837261,3,
hash::f19de7bc2e45de21,38.553375,-6.071746,3,
hash::bef11f3d7e5c29a7,40.354202,-3.549634,3,
hash::1ac5be314fd059aa,41.470173,2.289598,3,
hash::7719b5c2a88106e7,41.942043,2.252905,3,
hash::44d24df5082647d1,42.736675,-0.315724,3,
hash::4dc9e4135033292b,42.889694,-8.52473,3,
hash::81ec788bb25e60c8,36.462994,-5.014058,3,
hash::a860020572ade356,39.06275,-0.538106,3,
hash::3572c9567b930593,41.536125,-1.628813,3,
hash::3e449b9be95f8283,41.62368,-0.846066,3,
hash::3995d2701c3e8e03,37.13844,-1.839948,3,
hash::006b5c1c05c12cff,41.67084,-0.890011,3,
hash::e8433942ba8ebff0,42.830082,-1.686101,3,
hash::7e181176dd58120a,41.6709,-0.890002,3,
hash::474094112379d190,37.18563,-3.960243,3,
hash::4833d2abb1506f7a,43.33845,-1.75422,3,
hash::d6e5aaa750f56129,40.582832,-3.576179,3,
hash::a1250d2ae43f7940,39.440575,-0.456288,3,
hash::faa3ee5537592acf,39.4479,-0.469147,3,
hash::034f1af17bba88c6,41.158825,1.117877,3,
hash::6e42aabd40e53e32,42.199245,2.188464,3,
hash::c57db574a423d4f4,42.11087,3.125039,3,
hash::65ff4917d887c4fa,40.61361,0.590008,3,
hash::c40a84367dc5a5c4,41.470158,2.289584,3,
hash::b8ce8173fd693e4f,41.158825,1.117877,3,
hash::c319b029465cd595,38.050144,-0.722258,3,
hash::4b84fc95fa956f57,37.354115,-6.026989,3,
hash::0bcf0a85283816c1,38.055325,-1.068693,3,
hash::3974e2ab6281d85e,39.66758,-0.23796,3,
hash::27e835ea9c7ada25,42.56621,-2.83949,3,
hash::4e764f269f21e30d,39.91098,-0.703776,3,
hash::17eee722f3f654ec,40.312187,-3.486983,3,
hash::fbfa3fd608f3310b,42.02415,2.592158,3,
hash::a7de0368070e2f76,37.13024,-5.453183,3,
hash::b76abe210194ffb6,38.02172,-4.053623,3,
hash::ad38adc2f469bae8,43.449886,-8.170064,3,
hash::b252592b4991cdf8,40.837032,-1.306684,3,
hash::8cec6712881c5278,43.22994,-2.830192,3,
hash::54a23f28faa5799c,36.92739,-6.07117,3,
hash::cae44fb078792cc9,43.36829,-3.215893,3,
hash::fd87015ea5d6874c,39.144855,-0.427347,3,
hash::b35cf403ab474651,40.462185,-3.638445,3,
hash::4f38c39265716428,38.971737,-0.169601,3,
hash::b2d1a5f4fba08654,39.863003,-3.976901,3,
hash::dc4a3ef232625b4d,42.34131,-4.6172,3,
hash::75792cdfd37f9c87,43.2954,-1.899182,3,
hash::9218bacca6735727,42.141132,0.225176,3,
hash::dbfd6a156c81dca0,41.592064,2.400474,3,
hash::a08a1da3e1bf28cd,37.77904,-3.756766,3,
hash::7f72046bd1a1e197,42.43734,1.130524,3,
hash::ad25523e412d55ca,36.51966,-4.880822,3,
hash::8ae0f988fbe3731d,37.159813,-4.124414,3,
hash::e8424dfa12fbb5ef,42.564583,-0.567253,3,
hash::31d372ad46b158d7,38.02212,-4.05365,3,
hash::d54e8120ea216876,42.830063,-1.6861,3,
hash::a2da88609ca9a763,37.182285,-1.926424,3,
hash::04102ee827db440e,41.35902,0.513722,3,
hash::2036a4fa210bc3fa,43.487812,-8.204868,3,
hash::06325d9c6b0f94dc,41.261738,0.906314,3,
hash::ef520cb615dfbabb,37.198147,-5.795116,3,
hash::311e7709d3415642,41.22524,1.734298,3,
hash::0e4255a772553ed9,41.35932,0.513132,3,
hash::1212ba2e8acaae72,39.429363,-0.781944,3,
hash::385c1f82898f7ee4,38.053272,-0.723753,3,
hash::e481af341d7e7db0,41.22523,1.734261,3,
hash::8fd3be2cb3421baa,42.190296,2.196317,3,
hash::80134907e6f6f9ce,37.925995,-4.791893,3,
hash::72de9ca0644c76f0,37.181038,-6.966841,3,
hash::37fff8f5a462fca5,39.006577,-1.885834,3,
hash::758b4b2efe61a1f0,36.754723,-4.099182,3,
hash::2b5ed89b63ccbdf0,37.393345,-3.027246,3,
hash::832c93bf5eb953da,37.39333,-3.027261,3,
hash::f775fd85bac56e16,40.618183,-3.279721,3,
hash::4c8f7a90e1c1b076,38.915806,1.229615,3,
hash::8ba37cb2c8eac97c,40.334213,-3.71561,3,
hash::5f4d6fa7ae2b1c25,39.39402,-2.94376,3,
hash::896b3b2074e3aced,37.48522,-4.457539,3,
hash::a95f27625d251e60,39.076233,-3.596253,3,
hash::5e79da1534a3726a,37.21142,-7.05246,3,
hash::fb647499275b9e0c,39.016384,-1.893863,3,
hash::a6fa71e4452c1dfe,39.172516,-3.009502,3,
hash::83fc73abd3e3e1fd,40.967896,-4.094488,3,
hash::f6f8b7bc406fce73,42.834183,-1.666381,3,
hash::17a24ee9d4152248,42.816963,-1.589895,3,
hash::e53445cbb4ca9001,42.834167,-1.666352,3,
hash::71e981f71b09d5f5,40.33879,-3.531241,3,
hash::74bbf6bf3f5545b7,37.920834,-3.019268,3,
hash::3174387db780bf24,42.46131,-2.421373,3,
hash::931f1403e78e0b46,37.920803,-3.019239,3,
hash::ec30cea883145ff2,41.42516,-0.495185,3,
hash::c46218d1fbdaa987,38.53256,-1.694384,3,
hash::003b7bc1d2f00836,37.212097,-3.618852,3,
hash::4ff9a729a2197d04,42.816963,-1.589895,3,
hash::7de69495a6769d8c,40.79845,0.521427,3,
hash::3f470f242243c8bb,40.440674,-3.53759,3,
hash::32c7a703c8bca7c7,41.470394,2.290177,3,
hash::df76ccfb0112ead5,41.651863,1.14741,3,
hash::e0652d5e1c29ad2e,40.798412,0.521397,3,
hash::fac2b4133dc2531f,39.486664,-1.094675,2,
hash::a2ba4de1513d47ab,40.050133,0.067354,2,
hash::ff88779cd86bd4a5,39.486694,-1.094705,2,
hash::ba265098aecd7695,39.263855,-0.46873,2,
hash::9f04d8c9771e940b,40.24769,0.275207,2,
hash::3d984f938674deb0,39.781944,-0.184096,2,
hash::d42e646811c22b3c,42.590584,-5.620235,2,
hash::8a0663050d699a8e,40.440674,-3.53759,2,
hash::a128d4a59d26a11e,38.884098,1.405236,2,
hash::af44e1abaecf684e,42.590553,-5.620205,2,
hash::156f56443bb92e28,43.42714,-3.838632,2,
hash::e10ff99ef72267fa,40.45767,-3.469599,2,
hash::e73f90c9ec7e7653,42.186142,2.497409,2,
hash::ebf80dd1b88f6db2,40.45767,-3.469599,2,
hash::05963981ed858c22,41.704643,1.802606,2,
hash::12a6d9c275047e23,41.620632,2.668602,2,
hash::a83eebe5a3511c02,41.704643,1.802606,2,
hash::0c8f983d6e8a0424,37.38625,-4.508612,2,
hash::872161bf26122970,42.181267,-7.115201,2,
hash::fca38defe2271057,40.45767,-3.469599,2,
hash::ba62a94e175a2c0a,40.45767,-3.469599,2,
hash::6064d95c704192a8,41.674427,-4.724281,2,
hash::aee7c4e589db3444,41.613544,-0.915006,2,
hash::faa2a41f289ac645,36.772278,-2.604377,2,
hash::975feb46999b6010,28.239431,-16.844624,2,
hash::29acd49a330d00f7,38.26198,-0.720914,2,
hash::ac44485a02607573,40.440674,-3.53759,2,
hash::45cd9e53ab1a9122,38.590878,-0.058392,2,
hash::6545fecdb0084876,37.95314,-0.728502,2,
hash::35ee3df42ccce584,38.619915,-0.582075,2,
hash::1199615c10662f12,38.262314,-0.721,2,
hash::de0d8373a6c29dba,39.16246,-2.998005,2,
hash::debb21e25a12ff2c,38.619915,-0.582075,2,
hash::713ea340d66fb38a,38.762894,0.189235,2,
hash::74d7d28bd2d5cbe4,41.137745,1.112501,2,
hash::d4da83271da3ced5,38.08596,-0.730457,2,
hash::eaf524db8d3faa42,36.758675,-5.368439,2,
hash::09839894c4dc67b5,38.962147,-3.304787,2,
hash::06a0a7ea8a26dbf4,38.76287,0.189205,2,
hash::226614ddd4f0794d,36.759464,-5.366913,2,
hash::c8bd16c19e98dbdf,37.184673,-6.963059,2,
hash::b3d1daaa7d33269d,40.425194,-3.677913,2,
hash::f31818aa09663b85,41.462673,2.076862,2,
hash::7da17c8b3ccfa623,40.440674,-3.53759,2,
hash::d5e6fd196902ecb6,41.462673,2.076862,2,
hash::e484782b4b04e929,41.210423,1.14154,2,
hash::0c5a6ae21feadb84,42.57888,-2.851709,2,
hash::749675be05bf3e86,40.19035,-0.652939,2,
hash::d580272c6eb51bef,39.960392,-4.82223,2,
hash::2058b3af066da8a9,42.186142,2.497409,2,
hash::1a6be8a9ccdf270f,41.826756,3.081652,2,
hash::67fa9dcc4fa53aa0,39.875526,-4.035649,2,
hash::7061cfba136c21b9,41.605877,2.085991,2,
hash::f82e45a071d50a73,42.441353,1.940943,2,
hash::26f4803501077f80,37.552807,-6.764238,2,
