bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
M3_EXCL_146,42.104798,-3.50797,N-234,i-DE,1800,Congested
M3_EXCL_147,42.242013,-3.674793,N-234,i-DE,1800,Congested
M3_EXCL_148,42.234892,2.289943,N-260,Endesa,1800,Moderate
M3_EXCL_149,42.292284,2.160705,N-260,Endesa,1800,Moderate
M3_EXCL_150,42.374236,1.634346,N-260,Endesa,1800,Moderate
M3_EXCL_151,42.369838,1.799424,N-260R,Endesa,1800,Moderate
M3_EXCL_152,39.746435,-3.155054,N-301,i-DE,1800,Congested
M3_EXCL_153,39.422308,-2.635569,N-301,i-DE,1800,Congested
M3_EXCL_154,39.080346,-3.224593,N-310,i-DE,1800,Congested
M3_EXCL_155,40.620107,-3.240399,N-320,i-DE,1800,Congested
M3_EXCL_156,40.591555,-3.095269,N-320A,i-DE,1800,Congested
M3_EXCL_157,37.453861,-3.632902,N-323A,Endesa,1800,Moderate
M3_EXCL_158,38.335555,-0.778773,N-325,Viesgo,1800,Congested
M3_EXCL_159,39.158469,-1.078735,N-330,i-DE,1800,Congested
M3_EXCL_160,39.378184,-1.115154,N-330,i-DE,1800,Congested
M3_EXCL_161,39.231293,-1.059074,N-330A,Viesgo,1800,Congested
M3_EXCL_162,37.214506,-4.536402,N-331,Endesa,1800,Congested
M3_EXCL_163,39.129342,-0.288266,N-332,Viesgo,1800,Congested
M3_EXCL_164,38.839871,-0.000951,N-332,Viesgo,1800,Congested
M3_EXCL_165,38.173617,-0.623535,N-332,Viesgo,1800,Congested
M3_EXCL_166,38.716417,0.058814,N-332A,Viesgo,1800,Congested
M3_EXCL_167,39.183067,-0.269336,N-332R,Viesgo,1800,Congested
M3_EXCL_168,38.976172,-0.162052,N-337,Viesgo,1800,Congested
M3_EXCL_169,38.993121,-0.184506,N-337A,Viesgo,1800,Congested
M3_EXCL_170,38.280644,-0.536687,N-338,Viesgo,1800,Congested
M3_EXCL_171,37.425183,-5.895094,N-339,Endesa,1800,Congested
M3_EXCL_172,36.260913,-5.964761,N-340,Endesa,1800,Congested
M3_EXCL_173,36.260034,-5.973956,N-340,Endesa,1800,Congested
M3_EXCL_174,40.034408,0.023758,N-340,Endesa,1800,Congested
M3_EXCL_175,36.695802,-3.46455,N-340,Endesa,1800,Moderate
M3_EXCL_176,39.795185,-0.181015,N-340,Endesa,1800,Congested
M3_EXCL_177,36.252622,-5.934294,N-340,Endesa,1800,Congested
M3_EXCL_178,38.277511,-0.650887,N-340,Endesa,1800,Congested
M3_EXCL_179,36.722697,-3.363255,N-340,Endesa,1800,Moderate
M3_EXCL_180,40.918487,0.819963,N-340,Endesa,1800,Congested
M3_EXCL_181,41.350153,1.721979,N-340,Endesa,1800,Congested
M3_EXCL_182,41.123817,1.278477,N-340R,Endesa,1800,Congested
M3_EXCL_183,37.612577,-0.896406,N-345,Viesgo,1800,Congested
M3_EXCL_184,36.748584,-6.067705,N-346,Endesa,1800,Moderate
M3_EXCL_185,36.703703,-6.082302,N-349,Endesa,1800,Congested
M3_EXCL_186,36.112109,-5.45704,N-350,Endesa,1800,Congested
M3_EXCL_187,36.179873,-5.379438,N-351,Endesa,1800,Congested
M3_EXCL_188,37.071056,-5.848942,N-4,Endesa,1800,Congested
M3_EXCL_189,40.055444,-2.401381,N-400,i-DE,1800,Congested
M3_EXCL_190,40.055184,-2.497996,N-400,i-DE,1800,Congested
M3_EXCL_191,40.062104,-2.819806,N-400A,i-DE,1800,Congested
M3_EXCL_192,39.816872,-3.983959,N-401,i-DE,1800,Congested
M3_EXCL_193,39.03365,-3.929623,N-401,i-DE,1800,Congested
M3_EXCL_194,39.236151,-3.769942,N-401,i-DE,1800,Congested
M3_EXCL_195,39.669851,-3.935085,N-401A,i-DE,1800,Moderate
M3_EXCL_196,40.420643,-4.494202,N-403,i-DE,1800,Congested
M3_EXCL_197,40.498352,-4.67736,N-403,i-DE,1800,Congested
M3_EXCL_198,40.949987,-4.636348,N-403,i-DE,1800,Congested
M3_EXCL_199,40.468638,-4.625866,N-403,i-DE,1800,Congested
M3_EXCL_200,40.189195,-4.405038,N-403A,i-DE,1800,Congested
M3_EXCL_201,38.037776,-4.371173,N-420,i-DE,1800,Congested
M3_EXCL_202,39.962495,-2.026322,N-420,i-DE,1800,Congested
M3_EXCL_203,39.79656,-2.361564,N-420,i-DE,1800,Congested
M3_EXCL_204,38.92326,-3.15568,N-430,i-DE,1800,Congested
